"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
"20";"Executions";"19+";"0";"Mosul, Iraq";"ISIS closed all of the internet cafes in Mosul, and executed five employees for alledegly working with Iraqi forces, a part of their effort to cut off internet connection from areas under their control.[103] They also stoned a woman to death for \"fornication\".[104] They later executed six youths for \"belonging to a resistance faction\" using \"welding tools\".[105] A video also showed at least six people being executed by ISIS, and another man being shot dead in the head by a young boy.[106]";"Islamic State";"Iraqi Civil War";"September";"2016"
"20";"Bombing";"3";"0";"Manjib, Iraq";"3 children were killed by a mine explosion in a school. A part of the school was destroyed, and many factions were angered at the lack of safety at the school.[107]";"Islamic State";"Iraqi Civil War";"September";"2016"
"20";"Explosion, shooting";"0";"3";"Avdiivka, Ukraine";"Three Ukrainian servicemen were wounded in action in the Donbass region on 19 September. The casualties occurred in the region of Avdiivka, where two servicemen were injured by explosion of a booby trap, the third received a gunshot wound.";"Donetsk People's Republic";"War in Donbass";"September";"2016"
"21";"Melee attack";"0";"0 (+1)";"Ankara, Turkey";"A man tried to attack the Israeli embassy in Ankara with a knife while shouting 'Allahu akbar'. He was shot in the leg by a security guard and arrested.[108]";"Osman Nuri Caliskan (Lone wolf)";"Wave of Terror in Europe";"September";"2016"
"21";"Bombing";"2";"4";"Baghdad, Iraq";"A bombing in the Tarmiya District in northern Baghdad targeted a Al-Hashd Al-Sha'abi patrol killing two and wounding four.[109]";"Unknown";"Iraqi Civil War";"September";"2016"
"21";"Bombing";"3";"4";"Mogadishu, Somalia";"Three people were killed, including one soldier, and four wounded when a car bomb exploded in Somali’s capital Mogadishu Wednesday afternoon, local officials said.[110]";"Al-Shabaab";"";"September";"2016"
"22";"Rocket attack";"0";"9";"Kilis, Turkey";"Two rockets fired by Daesh wounded 9 people in Kilis.[111]";"Islamic State";"Turkey–ISIL conflict";"September";"2016"
"22";"Attack";"7-10";"Unknown";"Beni, Democratic Republic of the Congo";"At least 7 people were killed and 12 homes were set ablaze Thursday morning by suspected ADF rebels in a village located in the north eastern part of DR Congo. According to a senior police officer of Beni city, Ambrose Mboki, the attackers are suspected ADF rebels who for some years have been attacking villages neighboring the forests where they have bases.[112]";"Allied Democratic Forces";"Allied Democratic Forces insurgency";"September";"2016"
"22";"Suicide bombing";"3 (+1)";"Unknown";"Djakana, Cameroon";"Three civilians were killed in Cameroon's Far North when a vigilante tried to stop a suicide bomber whose explosive device detonated.[113]";"Boko Haram";"Boko Haram insurgency";"September";"2016"
"23";"Roadside Bomb";"3";"2";"Krong Pinang district Yala, Thailand";"Three policemen were killed and two others wounded when a bomb exploded under their vehicle in Krong Pinang district, Yala, on Friday. It is one of many attacks lately in the south.[114]";"Unknown";"South Thailand Insurgency";"September";"2016"
