"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
11;"Bombing";"1";"1";"Diyala Governorate, Iraq";"An explosive device went off killing a civilian and injuring another in Al Khalis town in Diyala Governorate.[67]";"Islamic State";"Iraqi Civil War";"July";"2017"
11;"Executions";"3";"0";"Qayyarah, Iraq";"The Islamic State executed three fighters belonging to al-Hashd al-Shaabiin the Imam Gharbi village an al-Qayara neighborhood.[68]";"Islamic State";"Iraqi Civil War";"July";"2017"
11;"Executions";"8";"0";"North East, Nigeria";"Boko Haram have publicly executed eight villagers in northeast Nigeria who opposed the enforcement of its hardline form of Islam.";"Boko Haram";"Boko Haram insurgency";"July";"2017"
11;"Bombing";"1";"3";"Ramadi, Iraq";"A Soldier was killed and three others wounded in an improvised explosive device (IED) explosion in western Ramadi.[69]";"Islamic State";"Iraqi Civil War";"July";"2017"
11;"Bombing";"0";"3";"Tessalit, Mali";"Three French soldiers of the Barkhane force were wounded by an explosion at the passage of their vehicle in the zone of Tessalit, in the north-east of Mali.
[70]";"Al-Qaeda in the Islamic Maghreb (suspected)";"Insurgency in the Maghreb";"July";"2017"
11;"Suicide bombings";"19 (+4)";"23";"Maiduguri, Nigeria";"Four Boko Haram suicide bombers killed 19 people and injured 23 in the northeast Nigerian city of Maiduguri.[71]";"Boko Haram";"Boko Haram insurgency";"July";"2017"
11;"Bombing";"4";"Unknown";"Tal Afar, Iraq";"Four pro-government fighters were killed by a roadside bomb near Tal Afar city in northern Iraq, according to an Iraqi military officer. The device struck a vehicle carrying fighters from the Shia Hashd al-Shaabi militia near the city, Mohammed al-Shufani told.[72]";"Islamic State";"Iraqi Civil War";"July";"2017"
12;"Bombings";"1";"5";"Baqubah, Iraq";"Three explosive devices went off, killing a soldier and injuring five others in north eastern Baqubah.[73]";"Islamic State";"Iraqi Civil War";"July";"2017"
12;"Shooting, kidnapping";"7";"9";"Farah Province, Afghanistan";"Taliban gunmen took down seven passengers, and kidnapped nine others from an inter-city bus in western Farah province.[74]";"Taliban";"War in Afghanistan";"July";"2017"
12;"Car bombing";"5";"8";"Mogadishu, Somalia";"At least five people were killed and eight others injured when a car loaded with explosives went off at a checkpoint south of Mogadishu.[75]";"Al-Shabaab";"War in Somalia";"July";"2017"
12;"Suicide bombings";"14 (+2)";"30";"Far North Region, Cameroon";"Two Boko Haram suicide bombers killed 14 people and injured 30 in the town of Waza, in Cameroon's Far North Region.";"Boko Haram";"Boko Haram insurgency";"July";"2017"
12;"Suicide Car Bombing";"8 (+1)";"18";"Idlib, Syria";"More than 26 members of Hayyaat Tahrir Al-Sham were killed or injured in a booby trapped vehicle explosion in Idlib city.[76]";"Islamic State (suspected)";"Syrian Civil War";"July";"2017"
12;"Ambush";"6";"Unknown";"Baringo County, Kenya";"Six police officers were killed on Wednesday in central Kenya in an ambush gunmen suspected of killing four people in the same area last week.[77]";"Al-Qaeda (suspected)";"Terrorism in Kenya";"July";"2017"
12;"Shooting, Raid";"0 (+5)";"4";"Konya, Turkey";"Five Daesh terrorists were killed and eight were detained in an anti-terror operation in central Turkey on Wednesday, officials said.
The operation in central Konya province's Meram district also left four police officers injured, according to a statement from Konya governor’s office.[78]";"Islamic State";"Turkey–ISIL conflict";"July";"2017"
13;"Bombing";"0";"1";"Chhattisgarh, India";"A police jawan was injured in a blast triggered by Naxals in Chhattisgarh's Kondagaon district.[79]";"CPI";"Naxalite–Maoist insurgency";"July";"2017"
13;"Suicide bombings";"17 (+2)";"9";"Al-Karmah, Iraq";"Seventeen security members were killed and nine others wounded when two suicide bombers attacked the headquarters of a paramilitary tribal fighters in the province of Anbar in western Iraq.[80]";"Islamic State";"Iraqi Civil War";"July";"2017"
13;"Bombings";"1";"5";"Baghdad, Iraq";"Two bombings in different locations of Baghdad leave one dead, and five injured.[81][82]";"Islamic State";"Iraqi Civil War";"July";"2017"
