"Date";"Type";"Dead";"Injured";"Location";"Details";"Perpetrator";"Conflict";"Month";"Year"
25;"Mortar attack";"4";"8";"Mogadishu, Somalia";"At least 4 people were killed and 8 others injured in an mortar attack in Mogadishu.[47]";"Al-Shabaab";"War in Somalia";"February";"2016"
26;"Suicide bombing, shooting";"14 (+5)";"Unknown";"Mogadishu, Somalia";"February 2016 Mogadishu attack: A suicide bomber blew the entrance of the SYL hotel in Mogadishu allowing gunmen to storm the hotel and clash with the hotel guards. Government forces arrived and ended the attack. Five militants, including the suicide bomber and at least nine civilians were killed. Al-Shabaab claimed responsibility.[48]";"Al-Shabaab";"War in Somalia";"February";"2016"
26;"Melee attack";"0";"1";"Ma'ale Adumim, West Bank";"an Israeli security officer of 47 years was stabbed outside a shopping center in the city of Ma'ale Adumim in the West Bank near Jerusalem on the night of Thursday, 25 to Friday, 26. The attacker managed to flee before the arrival of security forces at the scene of the incident.[49]";"Palestinian lone wolf";"Israeli-Palestinian conflict";"February";"2016"
26;"Suicide bombing";"5 (+1)";"Unknown";"Al-Hawari, Libya";"Five members of loyal forces of the Council of Deputies were killed in a suicide attack in Al-Hawari near Benghazi. This attack was claimed by Islamic State.[50]";"Islamic State";"Second Libyan Civil War";"February";"2016"
26;"Land mine";"1";"Unknown";"Sidi Faraj, Libya";"One member of loyal forces of the Council of Deputies was killed in a land mine in Sidi Faraj near Benghazi. This attack was claimed by Islamic State.[50]";"Islamic State";"Second Libyan Civil War";"February";"2016"
26;"Melee attack";"0";"1";"Hanover, Germany";"Knife attack, one federal policeman was critically injured by a stabbing attack by 15-year-old girl Safia S. The attack would later be connected to ISIL.[51] The girl was in contact with the organisation.[52][53]";"Islamic State";"Wave of Terror in Europe";"February";"2016"
27;"Suicide bombing";"13 (+1)";"40";"Asadabad, Afghanistan";"At least 11 civilians were killed and 40 more injured in a suicide bombing in the city of Asadabad in Kunar province.[54]";"Unknown";"War in Afghanistan";"February";"2016"
27;"Car bomb";"2";"7";"Pattani, Thailand";"The attack was carried out by Islamist rebels. The bomb was placed in a stolen car, parked near a restaurant and a police station. The two dead were civilians, the seven wounded were policemen.[55]";"Unknown";"South Thailand insurgency";"February";"2016"
27;"Car bomb";"2 (+1)";"Unknown";"Salamiyah, Syria";"In the morning, the car exploded at the entrance of the city of Salamiyah in the Syrian province of Hama, killing two victims. The attack was claimed by the Islamic State.[56]";"Islamic State";"Syrian Civil War";"February";"2016"
27;"Suicide bombing";"4 (+1)";"Unknown";"Teeba, Syria";"A terrorist on a motorcycle blew himself up in the village of Teeba, killing four people. The attack was claimed by the Islamic State.[56]";"Islamic State";"Syrian Civil War";"February";"2016"
